area,date,area_phase
banadir,2010-04-01,3.936405274417149
borama,2010-04-01,2.999777344586501
baki,2010-04-01,2.999920998405776
lughaye,2010-04-01,3.0
zeylac,2010-04-01,2.9999988202819443
hargeysa,2010-04-01,3.000204228296776
berbera,2010-04-01,3.0
gebiley,2010-04-01,2.596268465208822
burco,2010-04-01,3.000309446646913
buuhoodle,2010-04-01,3.0
owdweyne,2010-04-01,3.41669364481608
sheikh,2010-04-01,3.201182802378717
laas caanood,2010-04-01,3.0
caynabo,2010-04-01,3.0
taleex,2010-04-01,3.426205620782599
xudun,2010-04-01,3.125366861201744
ceerigaabo,2010-04-01,3.470817931096561
ceel afweyn,2010-04-01,3.0
laasqoray,2010-04-01,3.283482612958795
bossaso,2010-04-01,2.0
bandarbeyla,2010-04-01,2.000044570424106
caluula,2010-04-01,2.0
iskushuban,2010-04-01,2.0
qandala,2010-04-01,2.0
qardho,2010-04-01,2.000026093736873
garoowe,2010-04-01,2.9991675582099777
burtinle,2010-04-01,3.99826145255424
eyl,2010-04-01,3.6122431488437714
gaalkacyo,2010-04-01,4.0
galdogob,2010-04-01,4.0
hobyo,2010-04-01,4.0
jariiban,2010-04-01,4.0
xarardheere,2010-04-01,4.0
dhuusamarreeb,2010-04-01,4.0
cabudwaaq,2010-04-01,4.0
cadaado,2010-04-01,4.0
ceel buur,2010-04-01,4.0
ceel dheer,2010-04-01,4.0
belet weyne,2010-04-01,3.999998279796961
bulo burto,2010-04-01,4.0
jalalaqsi,2010-04-01,4.0
jowhar,2010-04-01,3.907671057689175
adan yabaal,2010-04-01,4.0
balcad,2010-04-01,3.8786467464699874
cadale,2010-04-01,4.0
marka,2010-04-01,2.995965660615402
afgooye,2010-04-01,2.5080279799207017
baraawe,2010-04-01,2.300933538352932
kurtunwaarey,2010-04-01,2.8577569520755017
qoryooley,2010-04-01,2.996337718856658
sablaale,2010-04-01,2.6776788632432327
wanla weyn,2010-04-01,3.003333094887267
baydhaba,2010-04-01,2.003954700297295
buur hakaba,2010-04-01,2.0015789312694863
diinsoor,2010-04-01,2.0
qansax dheere,2010-04-01,2.005967916848558
xudur,2010-04-01,3.5054302571755738
ceel barde,2010-04-01,3.999995879753977
tayeeglow,2010-04-01,4.0
waajid,2010-04-01,3.998272180675069
rab dhuure,2010-04-01,3.3386547274458573
garbahaarey,2010-04-01,3.998883208700836
baardheere,2010-04-01,2.2799667201207514
belet xaawo,2010-04-01,4.0
ceel waaq,2010-04-01,2.003821670398752
doolow,2010-04-01,3.999988538806786
luuq,2010-04-01,3.9983532340603753
bu'aale,2010-04-01,2.000767222066749
jilib,2010-04-01,2.000904715055879
saakow,2010-04-01,2.0008961976839155
kismaayo,2010-04-01,2.0
afmadow,2010-04-01,2.0
badhaadhe,2010-04-01,2.0
jamaame,2010-04-01,2.0
banadir,2018-10-01,1.9973803727775448
borama,2018-10-01,2.539294963593869
baki,2018-10-01,2.320118105507707
lughaye,2018-10-01,2.984093102331075
zeylac,2018-10-01,2.8040311201856127
hargeysa,2018-10-01,2.412705279605482
berbera,2018-10-01,2.360279343177056
gebiley,2018-10-01,2.453844305283666
burco,2018-10-01,2.0000007339236405
buuhoodle,2018-10-01,2.000001616382521
owdweyne,2018-10-01,2.000000291671686
sheikh,2018-10-01,2.0
laas caanood,2018-10-01,2.0
caynabo,2018-10-01,2.0
taleex,2018-10-01,2.0
xudun,2018-10-01,2.0
ceerigaabo,2018-10-01,2.0
ceel afweyn,2018-10-01,2.042635894457389
laasqoray,2018-10-01,2.0
bossaso,2018-10-01,2.0
bandarbeyla,2018-10-01,2.0
caluula,2018-10-01,2.0
iskushuban,2018-10-01,2.0
qandala,2018-10-01,2.0
qardho,2018-10-01,2.0
garoowe,2018-10-01,2.0
burtinle,2018-10-01,2.0
eyl,2018-10-01,2.0
gaalkacyo,2018-10-01,2.0
galdogob,2018-10-01,2.0
hobyo,2018-10-01,2.0
jariiban,2018-10-01,2.0
xarardheere,2018-10-01,2.0
dhuusamarreeb,2018-10-01,1.997718851736994
cabudwaaq,2018-10-01,2.0
cadaado,2018-10-01,2.0
ceel buur,2018-10-01,1.886876420926873
ceel dheer,2018-10-01,2.0
belet weyne,2018-10-01,1.5533212581916065
bulo burto,2018-10-01,1.273937069316093
jalalaqsi,2018-10-01,1.4855476487650077
jowhar,2018-10-01,1.1324336461766829
adan yabaal,2018-10-01,1.2155044381108282
balcad,2018-10-01,1.2957247024298948
cadale,2018-10-01,1.2790847644126504
marka,2018-10-01,1.9610772141808288
afgooye,2018-10-01,1.2438211245016657
baraawe,2018-10-01,2.0
kurtunwaarey,2018-10-01,1.33738480911466
qoryooley,2018-10-01,1.2199102382607725
sablaale,2018-10-01,1.190892083168781
wanla weyn,2018-10-01,1.03620826548344
baydhaba,2018-10-01,2.0
buur hakaba,2018-10-01,1.8849342622885128
diinsoor,2018-10-01,2.0
qansax dheere,2018-10-01,2.0
