Regions,Districts,Rainfall,Vegetation cover (NDVI),Price of water,Sorghum prices,Maize prices,Red Rice prices,Local goat prices,Wage labor,TOT (goat to cereals),TOT (wage to cereals),Cost of Minimum Basket (CMB),New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Insecurity - Incidents,Insecurity - Fatalities,Displacement (arrivals),Displacement (departures),Total alarms,date
Awdal,Borama,7.52,0.17,,4000,5000,4700,173750,30000,37,6,,,,,,,,,,,0,01-Jan-2009
Awdal,Baki,8.6,0.15,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Awdal,Lughaye,10.91,0.14,,5860,,6000,129600,25000,22,5,,,,,,,,,,,0,01-Jan-2009
Awdal,Zeylac,9.27,0.14,,6300,6300,7000,207375,35000,30,5,,,,,,,,,,,0,01-Jan-2009
Woqooyi Galbeed,Hargeysa,2.93,0,,6000,6000,5700,240000,25000,42,4,,,,,,,,,,,1,01-Jan-2009
Woqooyi Galbeed,Berbera,4.43,0.11,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Woqooyi Galbeed,Gebiley,4.82,0.18,,3325,3250,6125,118250,22500,19,4,,,,,,,,,,,0,01-Jan-2009
Togdheer,Burco,2.07,0.19,,4000,4375,7125,207500,25000,29,4,,,,,,,,,,,0,01-Jan-2009
Togdheer,Buuhoodle,0.94,0.18,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Togdheer,Owdweyne,2.56,0.16,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Togdheer,Sheikh,2.57,0.19,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Sool,Laas Caanood,1.05,0.14,,20750,19750,34750,925000,130000,27,4,,,,,,,,,,,0,01-Jan-2009
Sool,Caynabo,2.07,0.15,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Sool,Taleex,0.65,0.13,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Sool,Xudun,1.5,0.14,,,,24500,775000,110000,,,,,,,,,,,,,0,01-Jan-2009
Sanaag,Ceerigaabo,2.44,0.13,,13750,,35250,700000,120000,20,3,,,,,,,,,,,0,01-Jan-2009
Sanaag,Ceel Afweyn,3.05,0.14,,20000,,35000,1087500,65000,54,4,,,,,,,,,,,0,01-Jan-2009
Sanaag,Laasqoray,0.32,0.17,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Bari,Bossaso,0.42,0.15,,18000,20500,24500,950000,80000,39,3,,,,,,,,,,,0,01-Jan-2009
Bari,Bandarbeyla,1.23,0.14,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Bari,Caluula,1.51,0.24,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Bari,Iskushuban,0.64,0.16,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Bari,Qandala,0.54,0.19,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Bari,Qardho,0.2,0.14,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Nugaal,Garoowe,1.65,0.14,,23000,24000,30750,1287500,100000,42,3,,,,,,,,,,,0,01-Jan-2009
Nugaal,Burtinle,1.07,0.17,,23500,,29750,942500,117500,40,5,,,,,,,,,,,0,01-Jan-2009
Nugaal,Eyl,2.38,0.15,,33000,,40000,862500,100000,26,4,,,,,,,,,,,0,01-Jan-2009
Mudug,Gaalkacyo,0.5,0.16,,11000,,29500,1125000,90000,38,3,,,,,,,,,,,0,01-Jan-2009
Mudug,Galdogob,0.27,0.16,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Mudug,Hobyo,0.93,0.15,,15250,13250,40000,812500,40000,53,3,,,,,,,,,,,0,01-Jan-2009
Mudug,Jariiban,0.99,0.15,,28000,26750,45000,1182500,100000,42,4,,,,,,,,,,,0,01-Jan-2009
Mudug,Xarardheere,2.81,0.17,,11250,11000,40000,750000,50000,19,1,,,,,,,,,,,0,01-Jan-2009
Galgaduud,Dhuusamarreeb,2.29,0.19,,18000,20000,40000,752500,70000,19,2,,,,,,,,,,,0,01-Jan-2009
Galgaduud,Cabudwaaq,1.18,0.19,,20000,20000,32000,700000,120000,22,4,,,,,,,,,,,0,01-Jan-2009
Galgaduud,Cadaado,2.03,0.17,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Galgaduud,Ceel Buur,3.21,0.21,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Galgaduud,Ceel Dheer,2.89,0.19,,11000,11250,40000,612500,50000,15,1,,,,,,,,,,,0,01-Jan-2009
Hiraan,Belet Weyne,0.98,0.2,,10500,9250,26750,550000,92500,52,9,,,,,,,,,,,0,01-Jan-2009
Hiraan,Bulo Burto,1.97,0.22,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Hiraan,Jalalaqsi,2.87,0.23,,4400,4800,30400,568000,,129,,,,,,,,,,,,0,01-Jan-2009
Middle Shabelle,Jowhar,2.16,0.25,,7392,6775,33500,922500,50000,136,7,,,,,,,,,,,0,01-Jan-2009
Middle Shabelle,Adan Yabaal,2.41,0.21,,24000,,48000,700000,30000,,,,,,,,,,,,,0,01-Jan-2009
Middle Shabelle,Balcad,1.5,0.27,,7225,8000,20000,975000,32500,122,5,,,,,,,,,,,0,01-Jan-2009
Middle Shabelle,Cadale,1.91,0.21,,8250,9250,30000,497500,50000,54,6,,,,,,,,,,,0,01-Jan-2009
Banadir,Mogadishu,0.6,,,7750,7667,29750,1115000,41250,145,5,,,,,,,,,,,0,01-Jan-2009
Lower Shabelle,Marka,0.74,0.37,,6333,6834,31500,1245000,57500,182,8,,,,,,,,,,,0,01-Jan-2009
Lower Shabelle,Afgooye,1.21,0.26,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Lower Shabelle,Baraawe,0.36,0.3,,10000,6300,35000,712500,60000,113,10,,,,,,,,,,,0,01-Jan-2009
Lower Shabelle,Kurtunwaarey,0.61,0.4,,7000,7416,34500,887500,110000,120,15,,,,,,,,,,,0,01-Jan-2009
Lower Shabelle,Qoryooley,0.65,0.35,,5000,5157,31500,900000,20000,175,4,,,,,,,,,,,0,01-Jan-2009
Lower Shabelle,Sablaale,0.61,0.39,,,,,,,,,,,,,,,,,,,1,01-Jan-2009
Lower Shabelle,Wanla Weyn,1.57,0.23,,6334,5833,25600,612500,13750,105,2,,,,,,,,,,,0,01-Jan-2009
Bay,Baydhaba,0.94,0.29,,6000,8250,36000,552500,52500,92,9,,,,,,,,,,,0,01-Jan-2009
Bay,Buur Hakaba,0.81,0.3,,4875,6125,32500,657500,75000,135,16,,,,,,,,,,,0,01-Jan-2009
Bay,Diinsoor,1.03,0.3,,6000,8250,32750,535000,32000,89,5,,,,,,,,,,,0,01-Jan-2009
Bay,Qansax Dheere,1.5,0.27,,5250,10000,33750,805000,75000,153,14,,,,,,,,,,,0,01-Jan-2009
Bakool,Xudur,0.42,0.25,,7500,7500,34500,612500,37500,82,5,,,,,,,,,,,0,01-Jan-2009
Bakool,Ceel Barde,0.69,0.24,,10500,9000,40000,587500,15000,56,1,,,,,,,,,,,0,01-Jan-2009
Bakool,Tayeeglow,0.61,0.27,,6000,9000,34000,527500,32500,88,6,,,,,,,,,,,0,01-Jan-2009
Bakool,Waajid,0.54,0.24,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Bakool,Rab Dhuure,0.37,0.18,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Gedo,Garbahaarey,1.1,0.24,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Gedo,Baardheere,2.19,0.29,,6500,8000,35000,650000,71250,100,11,,,,,,,,,,,0,01-Jan-2009
Gedo,Belet Xaawo,0.95,0.25,,,20000,35000,810000,180000,,,,,,,,,,,,,0,01-Jan-2009
Gedo,Ceel Waaq,1.24,0.27,,11250,,35500,687500,68750,61,6,,,,,,,,,,,0,01-Jan-2009
Gedo,Doolow,0.8,0.19,,16500,16000,45000,480000,169500,29,10,,,,,,,,,,,0,01-Jan-2009
Gedo,Luuq,0.69,0.19,,,7000,38000,500000,100000,,,,,,,,,,,,,0,01-Jan-2009
Middle Juba,Bu'aale,0.79,0.37,,,6800,30000,687500,130000,101,19,,,,,,,,,,,0,01-Jan-2009
Middle Juba,Jilib,1.02,0.39,,,7500,28000,787500,107500,105,14,,,,,,,,,,,0,01-Jan-2009
Middle Juba,Saakow,1.09,0.31,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Lower Juba,Kismaayo,1.45,0.4,,8000,9000,30000,820000,160000,91,18,,,,,,,,,,,0,01-Jan-2009
Lower Juba,Afmadow,2.1,0.35,,10000,12000,40000,362500,61750,30,5,,,,,,,,,,,0,01-Jan-2009
Lower Juba,Badhaadhe,3.49,0.46,,,,,,,,,,,,,,,,,,,0,01-Jan-2009
Lower Juba,Jamaame,0.87,0.36,,,7660,28750,782500,77000,102,10,,,,,,,,,,,0,01-Jan-2009
Awdal,Borama,3.53,0.18,,4500,5000,4500,180750,30000,40,7,,,,,,,,,,,0,01-Feb-2009
Awdal,Baki,2.3,0.16,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Awdal,Lughaye,2.92,0.16,,4200,,5875,112750,26000,27,7,,,,,,,,,,,0,01-Feb-2009
Awdal,Zeylac,4.51,0.16,,4800,,6000,180000,30000,30,5,,,,,,,,,,,0,01-Feb-2009
Woqooyi Galbeed,Hargeysa,3.26,0,,4000,3000,5700,230000,25000,40,4,,,,,,,,,,,1,01-Feb-2009
Woqooyi Galbeed,Berbera,0.85,0.11,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Woqooyi Galbeed,Gebiley,2.38,0.18,,3000,2500,7250,112750,20000,16,3,,,,,,,,,,,0,01-Feb-2009
Togdheer,Burco,2.44,0.17,,4000,4000,6500,201250,25000,31,4,,,,,,,,,,,0,01-Feb-2009
Togdheer,Buuhoodle,1.16,0.17,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Togdheer,Owdweyne,3.77,0.15,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Togdheer,Sheikh,3.67,0.18,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Sool,Laas Caanood,0.57,0.14,,18750,18500,33500,875000,130000,26,4,,,,,,,,,,,0,01-Feb-2009
Sool,Caynabo,1.3,0.15,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Sool,Taleex,0.54,0.13,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Sool,Xudun,0.45,0.13,,,,22000,800000,110000,,,,,,,,,,,,,0,01-Feb-2009
Sanaag,Ceerigaabo,2.06,0.13,,15000,,35000,800000,120000,23,3,,,,,,,,,,,0,01-Feb-2009
Sanaag,Ceel Afweyn,1.79,0.14,,20000,,30000,1112500,65000,56,4,,,,,,,,,,,0,01-Feb-2009
Sanaag,Laasqoray,1,0.16,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Bari,Bossaso,0.74,0.15,,16000,18000,22000,942500,80000,43,4,,,,,,,,,,,0,01-Feb-2009
Bari,Bandarbeyla,0.31,0.13,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Bari,Caluula,0.31,0.22,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Bari,Iskushuban,0.24,0.15,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Bari,Qandala,0.78,0.18,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Bari,Qardho,0.51,0.13,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Nugaal,Garoowe,0.41,0.13,,15750,18000,27250,1275000,100000,47,4,,,,,,,,,,,0,01-Feb-2009
Nugaal,Burtinle,0.61,0.16,,18000,15688,24500,942500,102500,52,6,,,,,,,,,,,0,01-Feb-2009
Nugaal,Eyl,0.26,0.15,,30500,,34500,837500,100000,27,4,,,,,,,,,,,0,01-Feb-2009
Mudug,Gaalkacyo,0.5,0.16,,,12000,26000,1000000,90000,38,3,,,,,,,,,,,0,01-Feb-2009
Mudug,Galdogob,0.51,0.16,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Mudug,Hobyo,0.9,0.14,,8600,7200,37600,790000,31250,92,4,,,,,,,,,,,0,01-Feb-2009
Mudug,Jariiban,0.51,0.15,,26250,26750,42500,990000,100000,38,4,,,,,,,,,,,0,01-Feb-2009
Mudug,Xarardheere,1.95,0.16,,7500,9250,32750,730000,50000,22,2,,,,,,,,,,,0,01-Feb-2009
Galgaduud,Dhuusamarreeb,1.04,0.18,,17000,18000,38250,752500,70000,20,2,,,,,,,,,,,0,01-Feb-2009
Galgaduud,Cabudwaaq,1.9,0.18,,20000,20000,31500,725000,90000,23,3,,,,,,,,,,,0,01-Feb-2009
Galgaduud,Cadaado,0.71,0.17,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Galgaduud,Ceel Buur,1.86,0.2,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Galgaduud,Ceel Dheer,1.66,0.18,,5250,9000,34250,525000,50000,15,1,,,,,,,,,,,0,01-Feb-2009
Hiraan,Belet Weyne,1.63,0.19,,7250,7000,23250,600000,112500,83,16,,,,,,,,,,,0,01-Feb-2009
Hiraan,Bulo Burto,2.59,0.21,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Hiraan,Jalalaqsi,3.39,0.21,,3840,4000,34800,516000,,134,,,,,,,,,,,,0,01-Feb-2009
Middle Shabelle,Jowhar,3.27,0.23,,5800,5650,30000,837500,50000,148,9,,,,,,,,,,,0,01-Feb-2009
Middle Shabelle,Adan Yabaal,1.43,0.2,,24000,,48000,700000,30000,,,,,,,,,,,,,0,01-Feb-2009
Middle Shabelle,Balcad,1.18,0.25,,2600,6000,25000,937500,27500,156,5,,,,,,,,,,,0,01-Feb-2009
Middle Shabelle,Cadale,1.29,0.2,,7700,10000,27000,345000,36250,35,4,,,,,,,,,,,0,01-Feb-2009
Banadir,Mogadishu,1.09,,,7667,6167,23250,1052500,36250,171,6,,,,,,,,,,,0,01-Feb-2009
Lower Shabelle,Marka,0.25,0.33,,5000,5078,24000,1227500,56250,242,11,,,,,,,,,,,0,01-Feb-2009
Lower Shabelle,Afgooye,0.9,0.24,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Lower Shabelle,Baraawe,0.39,0.28,,24000,7450,20500,775000,30000,104,5,,,,,,,,,,,0,01-Feb-2009
Lower Shabelle,Kurtunwaarey,0.71,0.37,,9844,4625,13833,837500,47500,181,11,,,,,,,,,,,0,01-Feb-2009
Lower Shabelle,Qoryooley,0.68,0.33,,4656,4453,27000,962500,25000,216,6,,,,,,,,,,,0,01-Feb-2009
Lower Shabelle,Sablaale,0.93,0.35,,,,,,,,,,,,,,,,,,,0,01-Feb-2009
Lower Shabelle,Wanla Weyn,1.78,0.21,,5333,5333,27500,555000,31250,104,6,,,,,,,,,,,0,01-Feb-2009
