area,date,New Admissions (GAM),Measles Cases,AWD/cholera cases,AWD/Cholera deaths,Malaria Cases,Insecurity - Incidents,Insecurity - Fatalities,Displacement (arrivals),Displacement (departures),Total alarms,pop,Price of water,Sorghum prices,Maize prices,Red Rice prices,Local goat prices,Wage labor,TOT (goat to cereals),TOT (wage to cereals),Cost of Minimum Basket (CMB)
borama,2009-01-01,,,,,,,,,,0,320229.4240506329,,4000.0,5000.0,4700.0,173750.0,30000.0,37.0,6.0,
baki,2009-01-01,,,,,,,,,,0,49745.60632911392,,4796.25,4750.0,5631.25,165400.0,25625.0,30.0,4.75,
lughaye,2009-01-01,,,,,,,,,,0,73469.8540506329,,5860.0,5350.0,6000.0,129600.0,25000.0,22.0,5.0,
zeylac,2009-01-01,,,,,,,,,,0,51597.866202531644,,6300.0,6300.0,7000.0,207375.0,35000.0,30.0,5.0,
hargeysa,2009-01-01,,,,,,,,,,1,667613.693670886,,6000.0,6000.0,5700.0,240000.0,25000.0,42.0,4.0,
berbera,2009-01-01,,,,,,,,,,0,87709.49316455696,,8699.0625,5041.666666666667,13364.0625,425100.0,35156.25,38.75,4.1875,
gebiley,2009-01-01,,,,,,,,,,0,111876.77924050634,,3325.0,3250.0,6125.0,118250.0,22500.0,19.0,4.0,
burco,2009-01-01,,,,,,,,,,0,346934.09493670886,,4000.0,4375.0,7125.0,207500.0,25000.0,29.0,4.0,
buuhoodle,2009-01-01,,,,,,,,,,0,184408.39620253164,,12375.0,12062.5,20937.5,566250.0,77500.0,28.0,4.0,
owdweyne,2009-01-01,,,,,,,,,,0,67513.5735443038,,6233.020833333333,5138.88888888889,8729.6875,290866.6666666667,28385.416666666668,36.583333333333336,4.0625,
sheikh,2009-01-01,,,,,,,,,,0,43511.30063291139,,6233.020833333333,5138.88888888889,8729.6875,290866.6666666667,28385.416666666668,36.583333333333336,4.0625,
laas caanood,2009-01-01,,,,,,,,,,0,95946.12025316455,,20750.0,19750.0,34750.0,925000.0,130000.0,27.0,4.0,
caynabo,2009-01-01,,,,,,,,,,0,104252.30924050632,,14281.25,12062.5,24462.5,712250.0,81500.0,34.5,4.0,
taleex,2009-01-01,,,,,,,,,,0,40260.82974683544,,19166.666666666668,21875.0,31312.5,921875.0,115000.0,29.666666666666668,3.333333333333333,
xudun,2009-01-01,,,,,,,,,,0,36155.66594936709,,17589.583333333336,17895.833333333332,24500.0,775000.0,110000.0,33.03333333333334,3.666666666666667,
ceerigaabo,2009-01-01,,,,,,,,,,0,170160.38607594935,,13750.0,19885.416666666664,35250.0,700000.0,120000.0,20.0,3.0,
ceel afweyn,2009-01-01,,,,,,,,,,0,91967.32810126584,,20000.0,11852.083333333332,35000.0,1087500.0,65000.0,54.0,4.0,
laasqoray,2009-01-01,,,,,,,,,,0,125592.24177215189,,16972.222222222223,20753.472222222223,30354.166666666668,857291.6666666666,105000.0,29.55555555555556,3.111111111111111,
bossaso,2009-01-01,,,,,,,,,,0,204852.3886075949,,18000.0,20500.0,24500.0,950000.0,80000.0,39.0,3.0,
bandarbeyla,2009-01-01,,,,,,,,,,0,34883.237341772154,,33000.0,21989.872685185182,40000.0,862500.0,100000.0,26.0,4.0,
caluula,2009-01-01,,,,,,,,,,0,61486.5741772152,,23625.0,20500.0,30312.5,917187.5,87500.0,34.125,3.375,
iskushuban,2009-01-01,,,,,,,,,,0,79583.09088607595,,25500.0,20500.0,32250.0,906250.0,90000.0,32.5,3.5,
qandala,2009-01-01,,,,,,,,,,0,60499.58,,21750.0,20500.0,28375.0,928125.0,85000.0,35.75,3.25,
qardho,2009-01-01,,,,,,,,,,0,129758.81265822783,,24091.26984126984,21525.694444444445,32738.09523809524,949702.3809523808,98571.42857142857,32.1031746031746,3.4206349206349205,
garoowe,2009-01-01,,,,,,,,,,0,80789.2858227848,,23000.0,24000.0,30750.0,1287500.0,100000.0,42.0,3.0,
burtinle,2009-01-01,,,,,,,,,,0,84269.62227848101,,23500.0,23500.0,29750.0,942500.0,117500.0,40.0,5.0,
eyl,2009-01-01,,,,,,,,,,0,54320.57518987342,,33000.0,23943.92361111111,40000.0,862500.0,100000.0,26.0,4.0,
gaalkacyo,2009-01-01,,,,,,,,,,0,162930.3417721519,,11000.0,21166.666666666668,29500.0,1125000.0,90000.0,38.0,3.0,
galdogob,2009-01-01,,,,,,,,,,0,54870.78759493671,,11000.0,21166.666666666668,29500.0,1125000.0,90000.0,38.0,3.0,
hobyo,2009-01-01,,,,,,,,,,0,82080.9035443038,,15250.0,13250.0,40000.0,812500.0,40000.0,53.0,3.0,
jariiban,2009-01-01,,,,,,,,,,0,83363.02215189874,,28000.0,26750.0,34812.5,1182500.0,100000.0,42.0,4.0,
xarardheere,2009-01-01,,,,,,,,,,0,83681.94987341772,,11250.0,11000.0,40000.0,750000.0,50000.0,19.0,1.0,
dhuusamarreeb,2009-01-01,,,,,,,,,,0,109715.25822784811,,18000.0,20000.0,40000.0,752500.0,70000.0,19.0,2.0,
cabudwaaq,2009-01-01,,,,,,,,,,0,56756.7829113924,,20000.0,20000.0,32000.0,700000.0,120000.0,22.0,4.0,
cadaado,2009-01-01,,,,,,,,,,0,114404.52569620252,,16062.5,18604.166666666668,35375.0,847500.0,80000.0,33.0,3.0,
ceel buur,2009-01-01,,,,,,,,,,0,97737.40734177217,,13200.0,12950.0,37350.0,695500.0,60500.0,31.6,3.2,
ceel dheer,2009-01-01,,,,,,,,,,0,101558.04151898736,,11000.0,11250.0,40000.0,612500.0,50000.0,15.0,1.0,
belet weyne,2009-01-01,,,,,,,,,,0,208078.9734177215,,10500.0,9250.0,26750.0,550000.0,92500.0,52.0,9.0,
bulo burto,2009-01-01,,,,,,,,,,0,132940.59493670886,,10353.25,8551.142857142857,32514.28571428572,648562.5,47035.71428571428,79.51428571428572,4.7,
jalalaqsi,2009-01-01,,,,,,,,,,0,102926.93860759494,,4400.0,4800.0,30400.0,568000.0,44258.92857142857,129.0,5.9,
jowhar,2009-01-01,,,,,,,,,,0,300786.8,,7392.0,6775.0,33500.0,922500.0,50000.0,136.0,7.0,
adan yabaal,2009-01-01,,,,,,,,,,0,81065.6,,24000.0,8462.785714285714,33228.57142857143,700000.0,30000.0,69.37857142857143,4.4,
balcad,2009-01-01,,,,,,,,,,0,176049.30379746837,,7225.0,8000.0,20000.0,975000.0,32500.0,122.0,5.0,
cadale,2009-01-01,,,,,,,,,,0,64696.40139240506,,8250.0,9250.0,30000.0,497500.0,50000.0,54.0,6.0,
banadir,2009-01-01,,,,,,,,,,0,967994.8481012658,,7750.0,7667.0,29750.0,1115000.0,41250.0,145.0,5.0,
marka,2009-01-01,,,,,,,,,,0,221201.4683544304,,6333.0,6834.0,31500.0,1245000.0,57500.0,182.0,8.0,
afgooye,2009-01-01,,,,,,,,,,0,245185.59367088607,,6528.4,6698.2,27670.0,969500.0,33000.0,145.8,4.8,
baraawe,2009-01-01,,,,,,,,,,0,91515.33012658228,,10000.0,6300.0,35000.0,712500.0,60000.0,113.0,10.0,
kurtunwaarey,2009-01-01,,,,,,,,,,0,74499.03405063291,,7000.0,7416.0,34500.0,887500.0,110000.0,120.0,15.0,
qoryooley,2009-01-01,,,,,,,,,,0,204097.6329113924,,5000.0,5157.0,31500.0,900000.0,20000.0,175.0,4.0,
sablaale,2009-01-01,,,,,,,,,,1,60287.29556962025,,6968.75,7065.166666666667,32125.0,711250.0,85750.0,110.5,13.166666666666666,
wanla weyn,2009-01-01,,,,,,,,,,0,184948.1037974684,,6334.0,5833.0,25600.0,612500.0,13750.0,105.0,2.0,
baydhaba,2009-01-01,,,,,,,,,,0,366461.2278481013,,6000.0,8250.0,36000.0,552500.0,52500.0,92.0,9.0,
buur hakaba,2009-01-01,,,,,,,,,,0,192756.0025316456,,4875.0,6125.0,32500.0,657500.0,75000.0,135.0,16.0,
