ndmi_mean,ndmi_std,date,area
-0.14157702,0.057369493,2017-02-01,borama
-0.1470075,0.06194734,2017-03-01,borama
-0.15682516,0.04975023,2017-04-01,borama
-0.14164971,0.05610374,2017-05-01,borama
-0.10700692,0.057195213,2017-06-01,borama
-0.13009915,0.052195415,2017-07-01,borama
-0.1397151,0.047889743,2017-08-01,borama
-0.12409543,0.058107506,2017-09-01,borama
-0.085971534,0.07908238,2017-10-01,borama
-0.10791981,0.07157671,2017-11-01,borama
-0.12540656,0.061970435,2017-12-01,borama
-0.1321913,0.059948694,2018-01-01,borama
-0.14718018,0.055540755,2018-02-01,borama
-0.15399428,0.054187182,2018-03-01,borama
-0.15564795,0.05253051,2018-04-01,borama
-0.16428553,0.062211595,2018-05-01,borama
-0.09700053,0.06054925,2018-06-01,borama
-0.07896267,0.057510022,2018-07-01,borama
-0.08841233,0.057502434,2018-08-01,borama
-0.08887392,0.067769386,2018-09-01,borama
-0.07971293,0.073244765,2018-10-01,borama
-0.097955436,0.0669755,2018-11-01,borama
-0.11255499,0.066205695,2018-12-01,borama
-0.1386477,0.063747175,2019-01-01,borama
-0.13666192,0.058764722,2019-02-01,borama
-0.15835544,0.05250168,2019-03-01,borama
-0.16886024,0.052070435,2019-04-01,borama
-0.1350191,0.05908652,2019-05-01,borama
-0.12773141,0.06287905,2019-06-01,borama
-0.10120435,0.05903227,2019-07-01,borama
-0.120029725,0.056427196,2019-08-01,borama
-0.10541902,0.07349779,2019-09-01,borama
-0.088869356,0.09113929,2019-10-01,borama
-0.05933048,0.07790811,2019-11-01,borama
-0.09659301,0.06596744,2019-12-01,borama
-0.11546294,0.07371038,2020-01-01,borama
-0.12903112,0.07638988,2020-02-01,borama
-0.15003605,0.056690376,2020-03-01,borama
-0.15176305,0.053993482,2020-04-01,borama
-0.12748763,0.069739774,2020-05-01,borama
-0.08432604,0.068844974,2020-06-01,borama
-0.09328831,0.06364279,2020-07-01,borama
-0.12549283,0.06558328,2020-08-01,borama
-0.09312508,0.06660148,2020-09-01,borama
-0.07152945,0.08907842,2020-10-01,borama
-0.09393391,0.06713504,2020-11-01,borama
-0.115070894,0.06443961,2020-12-01,borama
-0.12321722,0.062725954,2021-01-01,borama
-0.14031096,0.0580617,2021-02-01,borama
-0.14539197,0.05041206,2021-03-01,borama
-0.15374474,0.04421201,2021-04-01,borama
-0.17052373,0.04197405,2021-05-01,borama
-0.07939417,0.0625371,2021-06-01,borama
-0.10102583,0.059685703,2021-07-01,borama
-0.114127144,0.05353596,2021-08-01,borama
-0.06859659,0.057100374,2021-09-01,borama
-0.07081862,0.07923113,2021-10-01,borama
-0.09404533,0.0709891,2021-11-01,borama
-0.11584795,0.06072821,2021-12-01,borama
-0.12807386,0.055884283,2022-01-01,borama
-0.1388176,0.090566926,2017-02-01,baki
-0.15589873,0.091528356,2017-03-01,baki
-0.15846676,0.07840721,2017-04-01,baki
-0.16339979,0.059694014,2017-05-01,baki
-0.150719,0.054378305,2017-06-01,baki
-0.139982,0.048296653,2017-07-01,baki
-0.15889905,0.052452724,2017-08-01,baki
-0.15640256,0.054973662,2017-09-01,baki
-0.14242959,0.06589195,2017-10-01,baki
-0.13643372,0.069381796,2017-11-01,baki
-0.14324725,0.08342754,2017-12-01,baki
-0.13886839,0.08444209,2018-01-01,baki
-0.1480215,0.08369097,2018-02-01,baki
-0.15750769,0.06901259,2018-03-01,baki
-0.15358695,0.0609534,2018-04-01,baki
-0.15839365,0.0760156,2018-05-01,baki
-0.12930927,0.060779206,2018-06-01,baki
-0.1106087,0.049411297,2018-07-01,baki
-0.12620227,0.05312772,2018-08-01,baki
-0.12895538,0.0539689,2018-09-01,baki
-0.12737525,0.060630467,2018-10-01,baki
-0.12597728,0.06310942,2018-11-01,baki
-0.121176675,0.091617264,2018-12-01,baki
-0.13450909,0.08700966,2019-01-01,baki
-0.14195,0.0773443,2019-02-01,baki
-0.14851254,0.08162301,2019-03-01,baki
-0.16692436,0.060172524,2019-04-01,baki
-0.16157654,0.061863527,2019-05-01,baki
-0.15735094,0.057144992,2019-06-01,baki
-0.13064556,0.049882002,2019-07-01,baki
-0.1462864,0.055101812,2019-08-01,baki
-0.13852994,0.05591454,2019-09-01,baki
-0.13482255,0.067536555,2019-10-01,baki
-0.102550164,0.086999886,2019-11-01,baki
-0.10194001,0.105543375,2019-12-01,baki
-0.09887793,0.100972086,2020-01-01,baki
-0.12264028,0.087571874,2020-02-01,baki
-0.13186482,0.081691824,2020-03-01,baki
-0.13979077,0.06734221,2020-04-01,baki
-0.13025661,0.067945376,2020-05-01,baki
-0.114381805,0.06859544,2020-06-01,baki
-0.12706129,0.057492923,2020-07-01,baki
-0.14387548,0.058890913,2020-08-01,baki
-0.13542613,0.062896885,2020-09-01,baki
-0.12593427,0.07149061,2020-10-01,baki
-0.12209624,0.07677062,2020-11-01,baki
-0.1274667,0.0739662,2020-12-01,baki
-0.12305297,0.08650139,2021-01-01,baki
-0.13065735,0.08951752,2021-02-01,baki
-0.14902006,0.07939443,2021-03-01,baki
-0.16007504,0.071008116,2021-04-01,baki
-0.16391101,0.06795073,2021-05-01,baki
-0.11028057,0.059970476,2021-06-01,baki
-0.13390808,0.057899088,2021-07-01,baki
-0.13817641,0.056256175,2021-08-01,baki
-0.13226326,0.0692826,2021-09-01,baki
-0.12917614,0.07073088,2021-10-01,baki
-0.12805194,0.07577958,2021-11-01,baki
-0.13438642,0.079756506,2021-12-01,baki
-0.12913151,0.09104119,2022-01-01,baki
-0.11887309,0.034232873,2017-02-01,hargeysa
-0.14127442,0.032194015,2017-03-01,hargeysa
-0.13700248,0.034684222,2017-04-01,hargeysa
-0.13869219,0.03605043,2017-05-01,hargeysa
-0.13159686,0.032615907,2017-06-01,hargeysa
-0.11372456,0.03243532,2017-07-01,hargeysa
-0.12690064,0.033841275,2017-08-01,hargeysa
-0.13771409,0.031114262,2017-09-01,hargeysa
-0.12579161,0.04129284,2017-10-01,hargeysa
-0.1178498,0.034096327,2017-11-01,hargeysa
-0.12560247,0.033473264,2017-12-01,hargeysa
-0.1212269,0.032283075,2018-01-01,hargeysa
-0.13030943,0.033253185,2018-02-01,hargeysa
-0.14706828,0.030580593,2018-03-01,hargeysa
-0.132676,0.031374577,2018-04-01,hargeysa
-0.118349336,0.061089024,2018-05-01,hargeysa
-0.091040775,0.05511685,2018-06-01,hargeysa
-0.09284942,0.04205653,2018-07-01,hargeysa
-0.11423301,0.03978927,2018-08-01,hargeysa
-0.11580761,0.039099157,2018-09-01,hargeysa
-0.1227815,0.034486007,2018-10-01,hargeysa
-0.11754847,0.034347918,2018-11-01,hargeysa
-0.11554608,0.03987356,2018-12-01,hargeysa
-0.125805,0.039129067,2019-01-01,hargeysa
-0.13617224,0.032255154,2019-02-01,hargeysa
-0.14211437,0.031042658,2019-03-01,hargeysa
-0.14394584,0.031155992,2019-04-01,hargeysa
-0.14978875,0.029672993,2019-05-01,hargeysa
-0.14463377,0.031225799,2019-06-01,hargeysa
-0.114281856,0.03703571,2019-07-01,hargeysa
-0.11898696,0.038317367,2019-08-01,hargeysa
-0.12294645,0.03882044,2019-09-01,hargeysa
-0.118344076,0.04452707,2019-10-01,hargeysa
-0.079578646,0.05036896,2019-11-01,hargeysa
-0.08590223,0.06475254,2019-12-01,hargeysa
-0.10036393,0.04956361,2020-01-01,hargeysa
-0.1239816,0.04466289,2020-02-01,hargeysa
-0.13778095,0.043531477,2020-03-01,hargeysa
-0.13536894,0.04024543,2020-04-01,hargeysa
-0.123465836,0.038682207,2020-05-01,hargeysa
-0.076865,0.058053646,2020-06-01,hargeysa
-0.095765464,0.043185893,2020-07-01,hargeysa
-0.11400994,0.04053983,2020-08-01,hargeysa
-0.11393204,0.04258001,2020-09-01,hargeysa
-0.10229989,0.04894557,2020-10-01,hargeysa
-0.10941203,0.03825433,2020-11-01,hargeysa
-0.11733981,0.037147004,2020-12-01,hargeysa
-0.13310519,0.040371295,2021-01-01,hargeysa
-0.12894602,0.03687,2021-02-01,hargeysa
-0.14685974,0.033511676,2021-03-01,hargeysa
-0.14041874,0.032830417,2021-04-01,hargeysa
-0.14530122,0.030558605,2021-05-01,hargeysa
-0.08081422,0.05190689,2021-06-01,hargeysa
-0.098087475,0.047419287,2021-07-01,hargeysa
-0.113016725,0.041418456,2021-08-01,hargeysa
-0.12407296,0.047317013,2021-09-01,hargeysa
-0.116692446,0.04582194,2021-10-01,hargeysa
-0.10058775,0.045835227,2021-11-01,hargeysa
-0.11655387,0.039191432,2021-12-01,hargeysa
-0.12590803,0.037274875,2022-01-01,hargeysa
-0.14559525,0.04688797,2017-02-01,gebiley
-0.16327968,0.042345155,2017-03-01,gebiley
-0.1647314,0.0393771,2017-04-01,gebiley
-0.15965822,0.039565757,2017-05-01,gebiley
-0.13695295,0.04184404,2017-06-01,gebiley
-0.12348126,0.042820763,2017-07-01,gebiley
-0.13664506,0.046482127,2017-08-01,gebiley
-0.13453352,0.04488108,2017-09-01,gebiley
-0.10634108,0.061896443,2017-10-01,gebiley
-0.11668305,0.047863156,2017-11-01,gebiley
-0.1368159,0.04395677,2017-12-01,gebiley
-0.13858707,0.042998593,2018-01-01,gebiley
-0.15155858,0.04429421,2018-02-01,gebiley
-0.16762319,0.038662307,2018-03-01,gebiley
-0.15530963,0.040036287,2018-04-01,gebiley
-0.13615768,0.06923198,2018-05-01,gebiley
-0.10182843,0.05489738,2018-06-01,gebiley
-0.08251467,0.048391365,2018-07-01,gebiley
-0.092900485,0.0537497,2018-08-01,gebiley
-0.09618472,0.05533297,2018-09-01,gebiley
-0.108723365,0.046859305,2018-10-01,gebiley
-0.115828,0.04254088,2018-11-01,gebiley
-0.1262549,0.05130404,2018-12-01,gebiley
-0.14509337,0.049792383,2019-01-01,gebiley
-0.15245916,0.04234853,2019-02-01,gebiley
-0.16088095,0.040263943,2019-03-01,gebiley
-0.16887514,0.04287714,2019-04-01,gebiley
-0.16237456,0.03793043,2019-05-01,gebiley
-0.15431473,0.042815313,2019-06-01,gebiley
-0.12020965,0.04013432,2019-07-01,gebiley
-0.12688854,0.045368943,2019-08-01,gebiley
-0.107962154,0.0567643,2019-09-01,gebiley
-0.0930011,0.06735557,2019-10-01,gebiley
-0.07841338,0.06039049,2019-11-01,gebiley
-0.093090005,0.07514992,2019-12-01,gebiley
-0.11951873,0.06452117,2020-01-01,gebiley
-0.14444187,0.05827793,2020-02-01,gebiley
-0.16175976,0.053241927,2020-03-01,gebiley
-0.16072813,0.04851601,2020-04-01,gebiley
-0.13368161,0.045187775,2020-05-01,gebiley
-0.077886984,0.06677974,2020-06-01,gebiley
-0.09117015,0.060076654,2020-07-01,gebiley
-0.114788726,0.05686018,2020-08-01,gebiley
-0.11715266,0.04649959,2020-09-01,gebiley
-0.09242447,0.059042685,2020-10-01,gebiley
-0.109067686,0.049922697,2020-11-01,gebiley
-0.12716325,0.05098262,2020-12-01,gebiley
-0.1389917,0.052884597,2021-01-01,gebiley
-0.14332172,0.04653953,2021-02-01,gebiley
-0.1588066,0.041755676,2021-03-01,gebiley
-0.16186637,0.03755262,2021-04-01,gebiley
-0.16804871,0.041995436,2021-05-01,gebiley
-0.07891006,0.055265926,2021-06-01,gebiley
-0.10430494,0.050545905,2021-07-01,gebiley
-0.11080342,0.04985868,2021-08-01,gebiley
-0.09584999,0.06453342,2021-09-01,gebiley
-0.08439476,0.06687273,2021-10-01,gebiley
-0.096374266,0.058562882,2021-11-01,gebiley
-0.11799819,0.04884287,2021-12-01,gebiley
-0.13378698,0.049195703,2022-01-01,gebiley
-0.14982727,0.036224585,2017-02-01,burco
-0.16127175,0.030357875,2017-03-01,burco
-0.15976356,0.030487888,2017-04-01,burco
-0.17353062,0.036836818,2017-05-01,burco
-0.13214318,0.04450256,2017-06-01,burco
-0.124019675,0.045018237,2017-07-01,burco
-0.15166582,0.03053607,2017-08-01,burco
-0.15742819,0.028600994,2017-09-01,burco
-0.15987247,0.031571798,2017-10-01,burco
-0.14394127,0.038061198,2017-11-01,burco
-0.12738433,0.04134127,2017-12-01,burco
-0.13424467,0.03736605,2018-01-01,burco
-0.1463809,0.03143488,2018-02-01,burco
-0.16591713,0.03029442,2018-03-01,burco
-0.16461559,0.03190748,2018-04-01,burco
-0.15304358,0.06542937,2018-05-01,burco
-0.104868814,0.059626367,2018-06-01,burco
-0.12871656,0.03684695,2018-07-01,burco
-0.15140414,0.027472392,2018-08-01,burco
-0.15868136,0.026996536,2018-09-01,burco
-0.1640788,0.030090885,2018-10-01,burco
-0.12730105,0.05454791,2018-11-01,burco
-0.13173665,0.045550015,2018-12-01,burco
-0.14062867,0.039618902,2019-01-01,burco
-0.14973553,0.033325013,2019-02-01,burco
-0.16098323,0.030144703,2019-03-01,burco
-0.16913757,0.029370451,2019-04-01,burco
-0.16756667,0.033887226,2019-05-01,burco
-0.1587912,0.038277287,2019-06-01,burco
-0.1158155,0.049547557,2019-07-01,burco
-0.1358297,0.04476011,2019-08-01,burco
-0.16162428,0.036366887,2019-09-01,burco
-0.16203156,0.043394294,2019-10-01,burco
-0.10365969,0.064172216,2019-11-01,burco
-0.09994433,0.052596968,2019-12-01,burco
-0.09640832,0.054006454,2020-01-01,burco
-0.122025676,0.04933697,2020-02-01,burco
