date,district,Cowpea,Ground Nuts,Maize,Onion,Pepper,Rice,Sesame,Sorghum,Tomato,Water Melon,area
1995-07-01,Adan Yabaal,,,,,,,,220.0,,,adan yabaal
1995-07-01,Afgooye,,,16.381,,,,,409.0,,,afgooye
1995-07-01,Afmadow,,,,,,,,,,,afmadow
1995-07-01,Baardheere,,,138.0,,,,,5.18,,,baardheere
1995-07-01,Badhaadhe,,,,,,,,,,,badhaadhe
1995-07-01,Balcad,,,4.235,,,,,922.0,,,balcad
1995-07-01,Baraawe,,,402.0,,,,,,,,baraawe
1995-07-01,Baydhaba,,,,,,,,10.047,,,baydhaba
1995-07-01,Belet Weyne,,,518.0,,,,,2.762,,,belet weyne
1995-07-01,Belet Xaawo,,,2.0,,,,,343.0,,,belet xaawo
1995-07-01,Borama,,,,,,,,,,,borama
1995-07-01,Bu'aale,,,964.0,,,,,409.0,,,bu'aale
1995-07-01,Bulo Burto,,,690.0,,,,,1.987,,,bulo burto
1995-07-01,Burco,,,,,,,,,,,burco
1995-07-01,Buur Hakaba,,,,,,,,7.149,,,buur hakaba
1995-07-01,Cadale,,,,,,,,,,,cadale
1995-07-01,Ceel Bur,,,,,,,,,,,ceel buur
1995-07-01,Ceel Dheer,,,,,,,,,,,ceel dheer
1995-07-01,Diinsoor,,,,,,,,4.4,,,diinsoor
1995-07-01,Doolow,,,45.0,,,,,1.27,,,doolow
1995-07-01,El berde,,,,,,,,,,,ceel barde
1995-07-01,Garbaharey/Burdhuubo,,,38.0,,,,,6.0,,,garbahaarey
1995-07-01,Gebiley,,,,,,,,,,,gebiley
1995-07-01,Hargeysa,,,,,,,,,,,hargeysa
1995-07-01,Hobyo,,,,,,,,,,,hobyo
1995-07-01,Jalalaqsi,,,2.545,,,,,926.0,,,jalalaqsi
1995-07-01,Jamaame,,,6.188,,,,,,,,jamaame
1995-07-01,Jilib,,,2.819,,,,,522.0,,,jilib
1995-07-01,Jowhar,,,11.621,,,,,2.742,,,jowhar
1995-07-01,Kismaayo,,,233.0,,,,,7.0,,,kismaayo
1995-07-01,Kurtunwaarey,,,289.0,,,,,,,,kurtunwaarey
1995-07-01,Luuq,,,128.0,,,,,20.0,,,luuq
1995-07-01,Marka,,,18.224,,,,,1.107,,,marka
1995-07-01,Owdweyne,,,,,,,,,,,owdweyne
1995-07-01,Qansax Dheere,,,,,,,,8.403,,,qansax dheere
1995-07-01,Qoryooley,,,18.728,,,,,4.0,,,qoryooley
1995-07-01,Rab Dhuure,,,,,,,,,,,rab dhuure
1995-07-01,Saakow,,,1.308,,,,,3.708,,,saakow
1995-07-01,Sablaale,,,202.0,,,,,,,,sablaale
1995-07-01,Sheikh,,,,,,,,,,,sheikh
1995-07-01,Tayeeglow,,,511.0,,,,,2.724,,,tayeeglow
1995-07-01,Waajid,,,,,,,,367.0,,,waajid
1995-07-01,Wanla weyn,,,2.459,,,,,5.524,,,wanla weyn
1995-07-01,Xarardheere,,,,,,,,,,,xarardheere
1995-07-01,Xudur,,,,,,,,1.459,,,xudur
1996-01-01,Adan Yabaal,,,,,,,,390.0,,,adan yabaal
1996-01-01,Afgooye,,,6.369,,,,,7.5,,,afgooye
1996-01-01,Afmadow,,,,,,,,800.0,,,afmadow
1996-01-01,Baardheere,,,47.0,,,,,1.2,,,baardheere
1996-01-01,Badhaadhe,,,,,,,,,,,badhaadhe
1996-01-01,Balcad,,,2.355,,,,,1.68,,,balcad
1996-01-01,Baraawe,,,337.0,,,,,,,,baraawe
1996-01-01,Baydhaba,,,,,,,,5.07,,,baydhaba
1996-01-01,Belet Weyne,,,131.0,,,,,900.0,,,belet weyne
1996-01-01,Belet Xaawo,,,1.0,,,,,40.0,,,belet xaawo
1996-01-01,Borama,,,,,,,,,,,borama
1996-01-01,Bu'aale,,,97.0,,,,,441.0,,,bu'aale
1996-01-01,Bulo Burto,,,339.0,,,,,2.25,,,bulo burto
1996-01-01,Burco,,,,,,,,,,,burco
