area,date,3_plus,3_plus_proj,lat,long
baki,2021-01-01,14%,17%,10.28566,43.7321
baki,2020-09-01,11%,13%,10.28566,43.7321
baki,2020-01-01,6%,6%,10.28566,43.7321
baki,2019-08-01,13%,17%,10.28566,43.7321
baki,2019-01-01,17%,19%,10.28566,43.7321
baki,2018-07-01,14%,8%,10.28566,43.7321
baki,2018-01-01,10%,18%,10.28566,43.7321
baki,2017-07-01,23%,8%,10.28566,43.7321
baki,2017-01-01,2%,10%,10.28566,43.7321
borama,2021-01-01,11%,16%,10.18763,43.17024
borama,2020-09-01,10%,15%,10.18763,43.17024
borama,2020-01-01,6%,6%,10.18763,43.17024
borama,2019-08-01,4%,11%,10.18763,43.17024
borama,2019-01-01,20%,22%,10.18763,43.17024
borama,2018-07-01,16%,14%,10.18763,43.17024
borama,2018-01-01,4%,12%,10.18763,43.17024
borama,2017-07-01,7%,14%,10.18763,43.17024
borama,2017-01-01,1%,4%,10.18763,43.17024
lughaye,2021-01-01,15%,33%,10.64738,43.57812
lughaye,2020-09-01,17%,32%,10.64738,43.57812
lughaye,2020-01-01,16%,20%,10.64738,43.57812
lughaye,2019-08-01,19%,35%,10.64738,43.57812
lughaye,2019-01-01,43%,39%,10.64738,43.57812
lughaye,2018-07-01,41%,52%,10.64738,43.57812
lughaye,2018-01-01,36%,60%,10.64738,43.57812
lughaye,2017-07-01,36%,34%,10.64738,43.57812
lughaye,2017-01-01,36%,36%,10.64738,43.57812
zeylac,2021-01-01,15%,33%,10.89293,43.16827
zeylac,2020-09-01,17%,32%,10.89293,43.16827
zeylac,2020-01-01,16%,21%,10.89293,43.16827
zeylac,2019-08-01,21%,37%,10.89293,43.16827
zeylac,2019-01-01,42%,38%,10.89293,43.16827
zeylac,2018-07-01,40%,52%,10.89293,43.16827
zeylac,2018-01-01,57%,64%,10.89293,43.16827
zeylac,2017-07-01,39%,20%,10.89293,43.16827
zeylac,2017-01-01,39%,39%,10.89293,43.16827
ceel barde,2021-01-01,9%,10%,4.673877,43.99833
ceel barde,2020-09-01,8%,11%,4.673877,43.99833
ceel barde,2020-01-01,4%,4%,4.673877,43.99833
ceel barde,2019-08-01, 0, 0,4.673877,43.99833
ceel barde,2019-01-01, 0, 0,4.673877,43.99833
ceel barde,2018-07-01, 0, 0,4.673877,43.99833
ceel barde,2018-01-01, 0,1%,4.673877,43.99833
ceel barde,2017-07-01,43%, 0,4.673877,43.99833
ceel barde,2017-01-01,24%,43%,4.673877,43.99833
rab dhuure,2021-01-01,7%,14%,4.243281,43.21162
rab dhuure,2020-09-01,6%,7%,4.243281,43.21162
rab dhuure,2020-01-01, 0, 0,4.243281,43.21162
tayeeglow,2021-01-01,9%,17%,3.835937,44.52907
