country,level 1 name,area,area id,analysis name,date of analysis,country population,#,% of total county pop,area phase,analysis period,phase 1#,phase 1%,phase 2#,phase 2%,phase 3#,phase 3%,phase 4#,phase 4%,phase 5#,phase 5%,phase 3+#,phase 3+%,# of population analyzed,% of population analyzed,projected area phase,projection period,projected phase 1#,projected phase 1%,projected phase 2#,projected phase 2%,projected phase 3#,projected phase 3%,projected phase 4#,projected phase 4%,projected phase 5#,projected phase 5%,projected phase 3+#,projected phase 3+%
Afghanistan: Acute Food Insecurity March 2022,,,,,Mar 2022,41727303.0,41727303.0,1.0,,Mar 2022 - May 2022,7451417.0,0.18,14625723.0,0.35,13036510.0,0.31,6593329.0,0.16,20324.0,0.0,19650163.0,0.47,41727303.0,1.0,,Jun 2022 - Nov 2022,8076291.0,0.2,14730490.0,0.35,12944658.0,0.31,5975864.0,0.14,0.0,0.0,18920522.0,0.45
Afghanistan,,Badakhshan,25114509.0,Acute Food Insecurity March 2022,Mar 2022,,1401209.0,,4.0,Mar 2022 - May 2022,140121.0,0.1,490423.0,0.35,420363.0,0.3,350302.0,0.25,0.0,0.0,770665.0,0.55,1401209.0,,4.0,Jun 2022 - Nov 2022,140121.0,0.1,490423.0,0.35,490423.0,0.35,280242.0,0.2,0.0,0.0,770665.0,0.55
Afghanistan,,Badghis,25114505.0,Acute Food Insecurity March 2022,Mar 2022,,730566.0,,4.0,Mar 2022 - May 2022,109585.0,0.15,219170.0,0.3,255698.0,0.35,146113.0,0.2,0.0,0.0,401811.0,0.55,730566.0,,4.0,Jun 2022 - Nov 2022,146113.0,0.2,219170.0,0.3,219170.0,0.3,146113.0,0.2,0.0,0.0,365283.0,0.5
Afghanistan,,Baghlan,25114453.0,Acute Food Insecurity March 2022,Mar 2022,,1077131.0,,3.0,Mar 2022 - May 2022,161570.0,0.15,484709.0,0.45,269283.0,0.25,161570.0,0.15,0.0,0.0,430853.0,0.4,1077131.0,,3.0,Jun 2022 - Nov 2022,323139.0,0.3,430852.0,0.4,215426.0,0.2,107713.0,0.1,0.0,0.0,323139.0,0.3
Afghanistan,,Baghlan Urban,25114457.0,Acute Food Insecurity March 2022,Mar 2022,,271631.0,,3.0,Mar 2022 - May 2022,54326.0,0.2,108652.0,0.4,67908.0,0.25,40745.0,0.15,0.0,0.0,108653.0,0.4,271631.0,,3.0,Jun 2022 - Nov 2022,81489.0,0.3,108652.0,0.4,54326.0,0.2,27163.0,0.1,0.0,0.0,81489.0,0.3
Afghanistan,,Balkh,25114455.0,Acute Food Insecurity March 2022,Mar 2022,,1356012.0,,4.0,Mar 2022 - May 2022,203402.0,0.15,406804.0,0.3,474604.0,0.35,271202.0,0.2,0.0,0.0,745806.0,0.55,1356012.0,,4.0,Jun 2022 - Nov 2022,203402.0,0.15,474604.0,0.35,406804.0,0.3,271202.0,0.2,0.0,0.0,678006.0,0.5
Afghanistan,,Balkh Urban,25114535.0,Acute Food Insecurity March 2022,Mar 2022,,650163.0,,3.0,Mar 2022 - May 2022,65016.0,0.1,260065.0,0.4,227557.0,0.35,97524.0,0.15,0.0,0.0,325081.0,0.5,650163.0,,3.0,Jun 2022 - Nov 2022,65016.0,0.1,260065.0,0.4,227557.0,0.35,97524.0,0.15,0.0,0.0,325081.0,0.5
Afghanistan,,Bamyan,25114459.0,Acute Food Insecurity March 2022,Mar 2022,,658750.0,,4.0,Mar 2022 - May 2022,65875.0,0.1,263500.0,0.4,197625.0,0.3,131750.0,0.2,0.0,0.0,329375.0,0.5,658750.0,,3.0,Jun 2022 - Nov 2022,164688.0,0.25,197625.0,0.3,197625.0,0.3,98813.0,0.15,0.0,0.0,296438.0,0.45
Afghanistan,,Daykundi,25114461.0,Acute Food Insecurity March 2022,Mar 2022,,686593.0,,4.0,Mar 2022 - May 2022,102989.0,0.15,205978.0,0.3,240308.0,0.35,137319.0,0.2,0.0,0.0,377627.0,0.55,686593.0,,4.0,Jun 2022 - Nov 2022,137319.0,0.2,171648.0,0.25,240308.0,0.35,137319.0,0.2,0.0,0.0,377627.0,0.55
Afghanistan,,Farah,25114463.0,Acute Food Insecurity March 2022,Mar 2022,,748435.0,,3.0,Mar 2022 - May 2022,224531.0,0.3,261952.0,0.35,187109.0,0.25,74844.0,0.1,0.0,0.0,261953.0,0.35,748435.0,,3.0,Jun 2022 - Nov 2022,261952.0,0.35,261952.0,0.35,149687.0,0.2,74844.0,0.1,0.0,0.0,224531.0,0.3
Afghanistan,,Faryab,25114517.0,Acute Food Insecurity March 2022,Mar 2022,,1295551.0,,4.0,Mar 2022 - May 2022,129555.0,0.1,453443.0,0.35,453443.0,0.35,259110.0,0.2,0.0,0.0,712553.0,0.55,1295551.0,,4.0,Jun 2022 - Nov 2022,129555.0,0.1,518220.0,0.4,388665.0,0.3,259110.0,0.2,0.0,0.0,647775.0,0.5
Afghanistan,,Faryab Urban,25114465.0,Acute Food Insecurity March 2022,Mar 2022,,178951.0,,3.0,Mar 2022 - May 2022,35790.0,0.2,62633.0,0.35,53685.0,0.3,26843.0,0.15,0.0,0.0,80528.0,0.45,178951.0,,3.0,Jun 2022 - Nov 2022,35790.0,0.2,62633.0,0.35,53685.0,0.3,26843.0,0.15,0.0,0.0,80528.0,0.45
Afghanistan,,Ghazni,25114467.0,Acute Food Insecurity March 2022,Mar 2022,,1811190.0,,3.0,Mar 2022 - May 2022,362238.0,0.2,724476.0,0.4,543357.0,0.3,181119.0,0.1,0.0,0.0,724476.0,0.4,1811190.0,,3.0,Jun 2022 - Nov 2022,452798.0,0.25,724476.0,0.4,452798.0,0.25,181119.0,0.1,0.0,0.0,633917.0,0.35
Afghanistan,,Ghor,25114469.0,Acute Food Insecurity March 2022,Mar 2022,,1016220.0,,4.0,Mar 2022 - May 2022,152433.0,0.15,355677.0,0.35,254055.0,0.25,233731.0,0.23,20324.0,0.02,508110.0,0.5,1016220.0,,4.0,Jun 2022 - Nov 2022,152433.0,0.15,355677.0,0.35,254055.0,0.25,254055.0,0.25,0.0,0.0,508110.0,0.5
