country,level 1 name,area,area id,analysis name,date of analysis,country population,#,% of total county pop,area phase,analysis period,phase 1#,phase 1%,phase 2#,phase 2%,phase 3#,phase 3%,phase 4#,phase 4%,phase 5#,phase 5%,phase 3+#,phase 3+%,# of population analyzed,% of population analyzed,projected area phase,projection period,projected phase 1#,projected phase 1%,projected phase 2#,projected phase 2%,projected phase 3#,projected phase 3%,projected phase 4#,projected phase 4%,projected phase 5#,projected phase 5%,projected phase 3+#,projected phase 3+%
Afghanistan,,,,,2022-03-01,41727303.0,41727303.0,1.0,,Mar 2022 - May 2022,7451417.0,0.18,14625723.0,0.35,13036510.0,0.31,6593329.0,0.16,20324.0,0.0,19650163.0,0.47,41727303.0,1.0,,Jun 2022 - Nov 2022,8076291.0,0.2,14730490.0,0.35,12944658.0,0.31,5975864.0,0.14,0.0,0.0,18920522.0,0.45
Afghanistan,,,,,2021-10-01,41727304.0,40411862.0,0.9684752698137411,,Sep 2021 - Oct 2021,7953993.0,0.2,13613416.0,0.33,11988297.0,0.3,6856155.0,0.17,0.0,0.0,18844453.0,0.47,41727304.0,1.0,,Nov 2021 - Mar 2022,6440549.0,0.15,12473098.0,0.3,14073883.0,0.34,8739775.0,0.21,0.0,0.0,22813658.0,0.55
Afghanistan,,,,,2021-03-01,32890171.0,31390171.0,0.9543936697683937,,Mar 2021 - May 2021,8669926.0,0.28,11781317.0,0.38,7766480.0,0.25,3172449.0,0.1,0.0,0.0,10938928.0,0.35,31390171.0,0.9543936697683937,,Jun 2021 - Nov 2021,9694433.0,0.31,12233391.0,0.39,6719607.0,0.21,2742741.0,0.09,0.0,0.0,9462347.0,0.3
Afghanistan,,,,,2020-09-01,32890171.0,31390171.0,0.9543936697683937,,Aug 2020 - Oct 2020,8904766.0,0.28,11336140.0,0.36,7544564.0,0.24,3604700.0,0.11,0.0,0.0,11149264.0,0.36,31390171.0,0.9543936697683937,,Nov 2020 - Mar 2021,7675485.0,0.24,10560167.0,0.34,8852083.0,0.28,4302436.0,0.14,0.0,0.0,13154519.0,0.42
Afghanistan,,,,,2020-04-01,32225560.0,30725560.0,0.9534530974791439,,Apr 2020 - May 2020,8925701.0,0.29,10942434.0,0.36,7383363.0,0.24,3474062.0,0.11,0.0,0.0,10857425.0,0.35,30725560.0,0.9534530974791439,,Jun 2020 - Nov 2020,8880776.0,0.29,11531599.0,0.38,7006624.0,0.23,3306561.0,0.11,0.0,0.0,10313185.0,0.34
Afghanistan,,,,,2019-09-01,32225560.0,30725560.0,0.9534530974791439,,Aug 2019 - Oct 2019,10118714.0,0.33,10374605.0,0.34,7793849.0,0.25,2438392.0,0.08,0.0,0.0,10232241.0,0.33,30725560.0,0.9534530974791439,,Nov 2019 - Mar 2020,9989069.0,0.33,9450138.0,0.31,8591396.0,0.28,2694957.0,0.09,0.0,0.0,11286353.0,0.37
Afghanistan,,,,,2018-09-01,31575018.0,22567065.0,0.7147126566958727,,Aug 2018 - Oct 2018,5851033.0,0.26,6877624.0,0.3,7255036.0,0.32,2583371.0,0.11,0.0,0.0,9838407.0,0.43,22567065.0,0.7147126566958727,,Nov 2018 - Feb 2019,5153244.0,0.23,6785308.0,0.3,7731348.0,0.34,2897164.0,0.13,0.0,0.0,10628512.0,0.47
Afghanistan,,,,,2018-01-01,31575018.0,3926777.0,0.12436341287279709,,Nov 2017 - Feb 2018,1099982.0,0.28,1524747.0,0.39,891453.0,0.23,410594.0,0.1,0.0,0.0,1302047.0,0.33,,,,,,,,,,,,,,,,
Afghanistan,,,,,2017-09-01,29724323.0,29003956.0,0.9757650662052084,,Aug 2017 - Nov 2017,11452456.0,0.39,9945689.0,0.34,5710868.0,0.2,1894944.0,0.07,0.0,0.0,7605812.0,0.27,,,,,,,,,,,,,,,,
Afghanistan,,,,,2017-05-01,29724323.0,2991169.0,0.10063034909155037,,May 2017 - Jul 2017,1085103.0,0.36,1143324.0,0.38,477363.0,0.16,285379.0,0.1,0.0,0.0,762742.0,0.26,,,,,,,,,,,,,,,,
Angola,,,,,2021-06-01,32097671.0,2667790.0,0.08311475309221034,,Jun 2021 - Sep 2021,531260.0,0.2,820998.0,0.31,1008245.0,0.38,307288.0,0.12,0.0,0.0,1315532.0,0.49,2750124.0,0.08567986132077932,,Oct 2021 - Mar 2022,482825.0,0.18,683303.0,0.25,1167337.0,0.42,416660.0,0.15,0.0,0.0,1583996.0,0.58
Angola,,,,,2019-08-01,31825000.0,903937.0,0.028403362136684995,,Jul 2019 - Sep 2019,215412.0,0.23,267052.0,0.3,199558.0,0.22,221609.0,0.25,0.0,0.0,421167.0,0.47,903937.0,0.028403362136684995,,Oct 2019 - Feb 2020,148715.0,0.16,193374.0,0.21,271607.0,0.3,290229.0,0.32,0.0,0.0,561836.0,0.62
Burundi,,,,,2022-04-01,12045234.0,12045234.0,1.0,,Apr 2022 - May 2022,7783814.0,0.65,3078734.0,0.25,1182686.0,0.1,0.0,0.0,0.0,0.0,1182686.0,0.1,12045234.0,1.0,,Jun 2022 - Sep 2022,8636769.0,0.72,2762798.0,0.23,645667.0,0.05,0.0,0.0,0.0,0.0,645667.0,0.05
Burundi,,,,,2021-09-01,12495569.0,11718311.0,0.9377973103905872,,Jun 2021 - Sep 2021,6655977.0,0.57,4004342.0,0.34,1057992.0,0.09,0.0,0.0,0.0,0.0,1057992.0,0.09,11718311.0,0.9377973103905872,,Oct 2021 - Dec 2021,6167417.0,0.53,4108726.0,0.35,1442168.0,0.12,0.0,0.0,0.0,0.0,1442168.0,0.12
Burundi,,,,,2021-04-01,12495569.0,11718311.0,0.9377973103905872,,Apr 2021 - May 2021,5074935.0,0.43,5029958.0,0.43,1506739.0,0.13,106680.0,0.01,0.0,0.0,1613419.0,0.14,11718311.0,0.9377973103905872,,Jun 2021 - Sep 2021,6472948.0,0.55,4200579.0,0.36,988419.0,0.08,56365.0,0.01,0.0,0.0,1044784.0,0.09
Burundi,,,,,2020-08-01,11891000.0,11658048.0,0.9804093852493483,,Aug 2020 - Sep 2020,7609187.0,0.65,3293345.0,0.28,713462.0,0.06,42054.0,0.0,0.0,0.0,755517.0,0.06,11658048.0,0.9804093852493483,,Oct 2020 - Dec 2020,6367987.0,0.55,3955432.0,0.34,1206500.0,0.1,128129.0,0.01,0.0,0.0,1334629.0,0.11
Burundi,,,,,2020-05-01,11891000.0,10950595.0,0.9209145572281557,,May 2020 - May 2020,5587472.0,0.51,3918684.0,0.36,1402386.0,0.13,42054.0,0.0,0.0,0.0,1444440.0,0.13,10950595.0,0.9209145572281557,,Jun 2020 - Aug 2020,6983311.0,0.64,3108324.0,0.28,816907.0,0.07,42054.0,0.0,0.0,0.0,858960.0,0.08
Burundi,,,,,2018-07-01,11178588.0,10950595.0,0.9796044902987747,,Jul 2018 - Sep 2018,4851502.0,0.44,4699418.0,0.43,1301600.0,0.12,98076.0,0.01,0.0,0.0,1399676.0,0.13,10950595.0,0.9796044902987747,,Oct 2018 - Dec 2018,0.0,0.0,9228832.0,0.84,1721763.0,0.16,0.0,0.0,0.0,0.0,1721763.0,0.16
Burundi,,,,,2018-03-01,11178588.0,10950595.0,0.9796044902987747,,Mar 2018 - Apr 2018,6228151.0,0.57,3353620.0,0.31,1368824.0,0.12,0.0,0.0,0.0,0.0,1368824.0,0.12,10950595.0,0.9796044902987747,,Apr 2018 - May 2018,0.0,0.0,9280629.0,0.85,1669966.0,0.15,0.0,0.0,0.0,0.0,1669966.0,0.15
Burundi,,,,,2017-07-01,10400938.0,9758864.0,0.93826768316473,,Aug 2017 - Sep 2017,2877920.0,0.29,5116037.0,0.52,1471008.0,0.15,293900.0,0.03,0.0,0.0,1764908.0,0.18,9758864.0,0.93826768316473,,Oct 2017 - Dec 2017,0.0,0.0,7145554.0,0.73,2613310.0,0.27,0.0,0.0,0.0,0.0,2613310.0,0.27
